ID GESAC;UF;Cod_IBGE;MunicÍpio;Área;Estabelecimento;Tipologia;Situação;Tipo_Contrato
40002;TO;1720903;Taguatinga;Rural;ESC MUN ALTAMIRA;Escola;Instalado;GESAC
40005;TO;1718204;Porto Nacional;Rural;Telecentro Comunitario De Porto Nacional Iii;Telecentro;Instalado;GESAC
40007;TO;1721000;Palmas;Rural;Eb/22 Batalhao De Infantaria;Posto de Fronteira;Instalado;GESAC
40008;TO;1721000;Palmas;Urbano;Mb/Capitania Fluvial Do Araguaia  Tocantins;Posto de Fronteira;Instalado;GESAC
40011;SP;3554300;Teodoro Sampaio;Rural;Associacao Progresso Do Assentamento Fusquinha;Assentamento;Instalado;GESAC
40012;SP;3554201;Tejupá;Rural;Prefeitura Municipal De Tejupa;Instituição Pública;Instalado;GESAC
40014;SP;3550704;São Sebastião;Urbano;Mb/Farol Da Ponta Do Boi;Posto de Fronteira;Instalado;GESAC
40015;SP;3550605;São Roque;Rural;RUTTE RODRIGUES DE CARVALHO PROFESSORA EMEIF;Escola;Instalado;GESAC
40017;SP;3550308;São Paulo;Urbano;MAMAE ASSOCIACAO DE ASSISTENCIA A CRIANCA SANTAMARENSE;Associação Comunitária;Instalado;GESAC
40019;SP;3548500;Santos;Rural;Mb/Radio Farol Moela;Posto de Fronteira;Instalado;GESAC
40030;SP;3537305;Penápolis;Urbano;Kit - Biblioteca Municipal;Biblioteca;Instalado;GESAC
40034;SP;3526407;Laranjal Paulista;Urbano;KIT BIBLIOTECA MUNICIPAL;Biblioteca;Instalado;GESAC
40038;SP;3523404;Itatiba;Urbano;Quilombo Brotas;Quilombola;Instalado;GESAC
40047;SP;3514908;Elias Fausto;Urbano;APARECIDA DO CARMO MASCHIETTO ESCOLA MUNICIPAL;Escola;Instalado;GESAC
40048;SP;3514809;Eldorado;Rural;ASSOCIACAO QUILOMBO DE IVAPORUNDUVA;Quilombola;Instalado;GESAC
40049;SP;3514809;Eldorado;Urbano;ASSOCIACAO DOS REMANESCENTES DE QUILOMBO DO BAIRRO POCA;Quilombola;Instalado;GESAC
40050;SP;3514809;Eldorado;Urbano;ASSOCIAÇÃO DOS REMANESCENTES DE QUILOMBO DE SÃO PEDRO;Quilombola;Instalado;GESAC
40052;SP;3514809;Eldorado;Rural;Quilombo Andre Lopes;Quilombola;Instalado;GESAC
40056;SP;3508108;Buritama;Urbano;B P M Professor Oswaldo Januzzi;Biblioteca;Instalado;GESAC
40057;SP;3506607;Biritiba-Mirim;Urbano;Kit - Assistencia Social De Biritiba Mirim;Telecentro;Instalado;GESAC
40059;SP;3505401;Barra do Turvo;Rural;ASSOCIACAO DOS REMANESCENTES DE QUILOMBO DOS BAIRROS RIBEIRAO GRANDE E TERRA ;Quilombola;Instalado;GESAC
40065;SP;3503109;Arandu;Urbano;KIT - ESCOLA MUNICIPAL SAGRADO CORACAO DE JESUS ;Escola;Instalado;GESAC
40067;SE;2807402;Tobias Barreto;Rural;ESC MUL DE ENSINO FUND AMINTAS L RAMOS;Escola;Instalado;GESAC
40070;SE;2805604;Porto da Folha;Urbano;POLO UAB  PORTO FOLHA;UAB;Instalado;GESAC
40071;SE;2805604;Porto da Folha;Urbano;ESCOLA MUNICIPAL TOMAZ BERMUDES;Escola;Instalado;GESAC
40089;SC;4216206;São Francisco do Sul;Urbano;Eb/Quartel Forte Marechal Luz;Posto de Fronteira;Instalado;GESAC
40091;SC;4213609;Porto União;Urbano;Eb/5 Batalhao De Engenharia De Combate;Posto de Fronteira;Instalado;GESAC
40092;SC;4212270;Passos Maia;Rural;ESC EI E SERIES INICIAIS NS APARECIDA;Escola;Instalado;GESAC
40094;SC;4209409;Laguna;Urbano;Mb/Radio Farol Santa Marta;Posto de Fronteira;Instalado;GESAC
40098;SC;4207908;Irineópolis;Rural;NUCLEO EDUCACIONAL GUILHERME BOSSOW;Escola;Instalado;GESAC
40099;SC;4206405;Guaraciaba;Rural;EEB JULIO VICENTE DE PELEGRIN;Escola;Instalado;GESAC
40100;SC;4205704;Garopaba;Urbano;Epagri  Beija Flor Garopaba;Telecentro;Instalado;GESAC
40101;SC;4205001;Dionísio Cerqueira;Rural;EEF PROF DALILO QUINTINO PEREIRA;Escola;Instalado;GESAC
40103;SC;4204178;Cerro Negro;Rural;Sede Da Adm  Sao Roque Raithz;Outros;Instalado;GESAC
40106;SC;4203402;Campo Belo do Sul;Rural;ESC ITINERANTE JOSE JOAQUIM DE LIMA XAVIER;Escola;Instalado;GESAC
40107;SC;4202438;Bocaina do Sul;Rural;EB MUN ANA VALQUIRIA DE SOUZA;Escola;Instalado;GESAC
40109;SC;4202099;Barra Bonita;Rural;EB MUN OLAVO BILAC;Escola;Instalado;GESAC
40112;SC;4200903;Angelina;Rural;NEM PROF ERMELINDA GOEDERT PEREIRA;Escola;Instalado;GESAC
40113;SC;4200101;Abelardo Luz;Rural;Centro De Ensino Médio Paulo Freire;Assentamento;Instalado;GESAC
40118;RS;4322400;Uruguaiana;Urbano;Mb/Del Uruguaiana;Posto de Fronteira;Instalado;GESAC
40119;RS;4321600;Tramandaí;Urbano;Mb/Radio Farol Tramandai;Posto de Fronteira;Instalado;GESAC
40121;RS;4321352;Tavares;Urbano;Mb/Farol Mostardas;Posto de Fronteira;Instalado;GESAC
40123;RS;4321303;Taquari;Rural;ESC EST ENS FUN JULIO DE CASTILHOS;Escola;Instalado;GESAC
40125;RS;4320008;Sapucaia do Sul;Urbano;Eb/18 Batalhao De Infantaria Motorizado;Posto de Fronteira;Instalado;GESAC
40127;RS;4318705;São Leopoldo;Urbano;Eb/19º Batalhão De Infantaria Motorizado;Posto de Fronteira;Instalado;GESAC
40128;RS;4318309;São Gabriel;Urbano;Eb/9 Regimento De Cavalaria Blindado;Posto de Fronteira;Instalado;GESAC
40129;RS;4318002;São Borja;Rural;Eb/Campo De Instrucao De Rincao;Posto de Fronteira;Instalado;GESAC
40133;RS;4317400;Santiago;Urbano;FAB/DTCEASTI CINDACTA 2;Posto de Fronteira;Instalado;GESAC
40135;RS;4317103;Sant'Ana do Livramento;Urbano;Eb/2 Bateria De Artilharia Antiaerea;Posto de Fronteira;Instalado;GESAC
40138;RS;4317301;Santa Vitória do Palmar;Urbano;Mb/Servico De Sinalizacao Nautica Do Sul Farol Albardao;Posto de Fronteira;Instalado;GESAC
40139;RS;4317301;Santa Vitória do Palmar;Urbano;Mb/Radio Farol Chui;Posto de Fronteira;Instalado;GESAC
40140;RS;4317301;Santa Vitória do Palmar;Rural;ESC MUN DE EDUCACAO BASICA BERNARDO ARRIADA;Escola;Instalado;GESAC
40141;RS;4317202;Santa Rosa;Urbano;Eb/19 Regimento De Cavalaria Mecanizado;Posto de Fronteira;Instalado;GESAC
40144;RS;4316808;Santa Cruz do Sul;Urbano;Eb/7 Batalhao De Infantaria Blindado;Posto de Fronteira;Instalado;GESAC
40147;RS;4314423;Picada Café;Urbano;Kit - Telecentro Municipal;Telecentro;Instalado;GESAC
40158;RS;4314076;Passo do Sobrado;Rural;EMEF NOSSA SENHORA DA SAUDE;Escola;Instalado;GESAC
40159;RS;4313375;Nova Santa Rita;Urbano; Eb/3 Batalhao De Suprimento ;Posto de Fronteira;Instalado;GESAC
40167;RS;4310603;Itaqui;Urbano;ESC MUNIC ENS FUND PROFESSORA ULISSEA LIMA BARBOSA;Escola;Instalado;GESAC
40171;RS;4310504;Iraí;Urbano;Kit - Prefeitura De Irai;Telecentro;Instalado;GESAC
40174;RS;4309654;Hulha Negra;Urbano;POLO UAB HULHA NEGRA ;UAB;Instalado;GESAC
40177;RS;4306908;Encruzilhada do Sul;Urbano;KIT - BIBLIOTECA PÚBLICA MUNICIPAL;Biblioteca;Instalado;GESAC
40186;RS;4304507;Canguçu;Urbano;FAB/DESTACAMENTO DE CONTROLE DO ESPACO AEREO CANGUCU;Posto de Fronteira;Instalado;GESAC
40189;RS;4303004;Cachoeira do Sul;Urbano;EB/13 GRUPO DE ARTILHARIA DE CAMPANHA;Posto de Fronteira;Instalado;GESAC
40190;RS;4302907;Cacequi;Urbano;FAB/CAMPO DE INSTRUCAO BARAO DE SAO BORJA BASM;Posto de Fronteira;Instalado;GESAC
40193;RS;4301602;Bagé;Urbano;EB/HOSPITAL DE GUARNICAO DE BAGE;Posto de Fronteira;Instalado;GESAC
40194;RS;4301602;Bagé;Urbano;EB/COMANDO DA 3 BRIGADA DE CAVALARIA MECANIZADA;Posto de Fronteira;Instalado;GESAC
40195;RS;4301602;Bagé;Rural;ASSOCIACAO DE RADIODIFUSAO COMUNITARIA DAS COMUNIDADES QUILOMBOLAS DE PALMAS;Quilombola;Instalado;GESAC
40196;RS;4300406;Alegrete;Urbano;EB/10 BATALHAO LOGISTICO;Posto de Fronteira;Instalado;GESAC
40197;RR;1400704;Uiramutã;Urbano;POLO UAB UIRAMUTA;UAB;Instalado;GESAC
40198;RR;1400605;São Luiz;Urbano;POLO UAB SAO LUIZ DO ANAUA;UAB;Instalado;GESAC
40200;RR;1400506;São João da Baliza;Urbano;POLO UAB UNIVERSIDADE VIRTUAL DE RORAIMA;UAB;Instalado;GESAC
40203;RR;1400456;Pacaraima;Urbano;Eb/3 Pelotao Especial De Fronteira  7 Bispacaraima Marco Bv8;Posto de Fronteira;Instalado;GESAC
40209;RR;1400159;Bonfim;Urbano;POLO UAB CENTRO DE MULTIMIDIA DE BONFIM;UAB;Instalado;GESAC
40214;RR;1400100;Boa Vista;Rural;Eb/4 Pelotao Especial De Fronteira  7 Bis  Surucucu;Posto de Fronteira;Instalado;GESAC
40215;RR;1400100;Boa Vista;Urbano;Eb/10 Grupo De Artilharia De Campanha Na Selva;Posto de Fronteira;Instalado;GESAC
40216;RR;1400100;Boa Vista;Urbano;Eb/Comando Da 1 Brigada De Infantaria De Selva;Posto de Fronteira;Instalado;GESAC
40217;RR;1400100;Boa Vista;Urbano;5º Pelotão Especial de Fronteira (5º PEF);Posto de Fronteira;Aguardando Remanejamento;GESAC
40219;RR;1400100;Boa Vista;Urbano;EB/1 BASE DE LOGISTICA;Posto de Fronteira;Instalado;GESAC
40220;RR;1400027;Amajari;Urbano;POLO UAB ESCOLA ESTADUAL OVIDIO DIAS DE SOUZA;UAB;Instalado;GESAC
40221;RR;1400050;Alto Alegre;Urbano;POLO UAB CENTRO DE MULTIMIDIA DE ALTO ALEGRE CENTRO REGIONAL DE ENSINO DE;UAB;Instalado;GESAC
40222;RO;1100304;Vilhena;Urbano;FAB/DESTACAMENTO DE CONTROLE DO ESPACO AEREO VILHENA;Posto de Fronteira;Instalado;GESAC
40223;RO;1100304;Vilhena;Urbano;Eb/Tiro De Guerra De Vilhena;Posto de Fronteira;Instalado;GESAC
40224;RO;1101609;Theobroma;Rural;EMEIEF JOSILEI DA SILVA NASCIMENTO;Escola;Instalado;GESAC
40229;RO;1100106;Guajará-Mirim;Urbano;TELECENTRO DA PESCA MARE GUAJARAMIRIM RO;Telecentro;Instalado;GESAC
40231;RO;1100080;Costa Marques;Urbano;Eb/1 Pelotao De Fuzileiros De Selva Destacados  6 Bis;Posto de Fronteira;Instalado;GESAC
40235;RO;1100031;Cabixi;Urbano;EMEIEF CHICO SOLDADO;Escola;Instalado;GESAC
40237;RN;2414407;Touros;Urbano;MB/RADIO FAROL CALCANHAR;Posto de Fronteira;Instalado;GESAC
40243;RN;2413003;São Vicente;Rural;ESC MUL INACIO FELIX DE MELO;Escola;Instalado;GESAC
40247;RN;2411403;Santana do Matos;Rural;EM PROF LUIZ PEREIRA;Escola;Instalado;GESAC
40248;RN;2410405;Pureza;Rural;FAB/ESTANDE DE TIRO DE MAXARANGUAPE;Posto de Fronteira;Instalado;GESAC
40265;RN;2404705;Ipanguaçu;Rural;ESCOLA MUNICIPAL PROFESSORA JULIETA MOURA SOUZA;Escola;Instalado;GESAC
40272;RN;2402709;Cerro Corá;Urbano;ESCOLA MUNICIPAL BELMIRA VIANA;Escola;Instalado;GESAC
40273;RN;2402600;Ceará-Mirim;Rural;EM PROFESSORA MARIA BERNADETE BARBOSA;Escola;Instalado;GESAC
40275;RN;2402303;Caraúbas;Rural;EM FRANCISCO DE SOUZA JUNIOR;Escola;Instalado;GESAC
40282;RJ;3305208;São Pedro da Aldeia;Urbano;Kit - Biblioteca Municipal Profcordelino T Paulo;Biblioteca;Instalado;GESAC
40284;RJ;3304755;São Francisco de Itabapoana;Urbano;POLO UAB SÃO FRANCISCO DE ITABAPOANA;UAB;Instalado;GESAC
40285;RJ;3304805;São Fidélis;Urbano;POLO UAB SÃO FIDELIS;UAB;Instalado;GESAC
40287;RJ;3304557;Rio de Janeiro;Urbano;Fab/Escola De Comando E Estadomaior Da Aeronautica;Posto de Fronteira;Instalado;GESAC
40289;RJ;3304557;Rio de Janeiro;Urbano;Mb/Hospital Naval Marcilio Dias;Posto de Fronteira;Instalado;GESAC
40290;RJ;3303302;Niterói;Urbano;Mb/Radio Farol Da Ilha Rasa;Posto de Fronteira;Instalado;GESAC
40293;RJ;3303906;Petrópolis;Rural;Fab/Destacamento De Controle Do Espaco Aereo  Pico Do Couto;Posto de Fronteira;Instalado;GESAC
40295;RJ;3302601;Mangaratiba;Rural;E M PAULO SCOFANO;Escola;Instalado;GESAC
40297;RJ;3302106;Itaocara;Rural;E M DR PERICLES CORREA DA ROCHA;Escola;Instalado;GESAC
40298;RJ;3302007;Itaguaí;Urbano;KIT - BIBLIOTECA MUNICIPAL MACHADO DE ASSIS - CASA DA CULTURA;Biblioteca;Instalado;GESAC
40302;RJ;3301009;Campos dos Goytacazes;Urbano;Mb/Radio Farol Sao Tome;Posto de Fronteira;Instalado;GESAC
40305;PR;4123857;Santa Maria do Oeste;Rural;ANIBAL MARTINS E M C EI EF;Escola;Instalado;GESAC
40307;PR;4122156;Rio Bonito do Iguaçu;Rural;PAULO FREIRE E M C EI EF;Escola;Instalado;GESAC
40309;PR;4118709;Paulo Frontin;Urbano;DONA ANICE C M E I;Escola;Instalado;GESAC
40310;PR;4118204;Paranaguá;Urbano;Mb/Radio Farol Paranagua;Posto de Fronteira;Instalado;GESAC
40317;PR;4110102;Imbituva;Urbano;MARIA OLIVIA ALVES PONTAROLO E M EI EF;Escola;Instalado;GESAC
40321;PR;4108809;Guaíra;Urbano;Mb/Del Guaira;Posto de Fronteira;Instalado;GESAC
40325;PR;4105003;Catanduvas;Rural;Fab/Dtcea  Cdt  Cindacta 2;Posto de Fronteira;Instalado;GESAC
40326;PR;4104808;Cascavel;Urbano;Eb/33 Batalhao De Infantaria Motorizado;Posto de Fronteira;Instalado;GESAC
40332;PI;2211209;Uruçuí;Urbano;POLO UAB URUÇUÍ;UAB;Instalado;GESAC
40335;PI;2210706;Simões;Urbano;POLO UAB POLO DE APOIO PRESENCIAL TERRITORIO VALE DO RIO GUARIBAS;UAB;Instalado;GESAC
40338;PI;2210003;São João do Piauí;Urbano;Assentamento Lisboa;Assentamento;Instalado;GESAC
40339;PI;2209559;São Braz do Piauí;Rural;Associacao De Desenvolvimento Comunitario Dos Moradores Do Povoado De Solidao;Assentamento;Instalado;GESAC
40341;PI;2206605;Monte Alegre do Piauí;Rural;UNIDADE ESCOLAR ATILA FREITAS LIRA;Escola;Instalado;GESAC
40345;PI;2204709;Inhuma;Urbano;POLO UAB INHUMA;UAB;Instalado;GESAC
40346;PI;2204402;Gilbués;Urbano;POLO UAB POLO DE APOIO PRESENCIAL CHAPADA DAS MANGABEIRAS;UAB;Instalado;GESAC
40352;PI;2202307;Canto do Buriti;Urbano;POLO UAB POLO DE APOIO PRESENCIAL TABULEIRO DOS RIOS PIAUI E ITAUEIRAS;UAB;Instalado;GESAC
40353;PI;2202251;Canavieira;Urbano;UNID ESC DR JOAO MARTINS DE A COSTA;Escola;Instalado;GESAC
40357;PI;2201101;Avelino Lopes;Urbano;ESCOLA MUNICIPAL PROFESSORA JACY NUNES;Escola;Instalado;GESAC
40362;PE;2614857;Tamandaré;Urbano;Kit - Biblioteca Publica Municipal;Biblioteca;Instalado;GESAC
40364;PE;2614501;Surubim;Rural;Associacao Beneficente Dos Agricultores De Furnas;Assentamento;Instalado;GESAC
40366;PE;2613008;São Bento do Una;Rural;Eb/10 Companhia De Engenharia De Combate;Posto de Fronteira;Instalado;GESAC
40369;PE;2611606;Recife;Urbano;COLEGIO MILITAR DO RECIFE;Escola;Instalado;GESAC
40370;PE;2611606;Recife;Urbano;Mb/Hospital Naval De Recife;Posto de Fronteira;Instalado;GESAC
40371;PE;2611101;Petrolina;Urbano;Fab/Destacamento De Controle Do Espaco Aereo  Petrolina;Posto de Fronteira;Instalado;GESAC
40372;PE;2611101;Petrolina;Urbano;Eb/72 Batalhao De Infantaria Motorizado;Posto de Fronteira;Instalado;GESAC
40374;PE;2610905;Pesqueira;Urbano;POLO UAB POLO DE APOIO PRESENCIAL MONSENHOR FAUSTO FERRAZ;UAB;Instalado;GESAC
40377;PE;2608750;Lagoa Grande;Rural;ESCOLA TARCILA ARAUJO;Escola;Instalado;GESAC
40382;PE;2605707;Floresta;Urbano;ESCOLA MUNICIPAL DEPUTADO AUDOMAR FERRAZ;Escola;Instalado;GESAC
40383;PE;2605459;Fernando de Noronha;Urbano;Fab/Destacamento De Controle Do Espaco Aereo  Fernando De Noronha;Posto de Fronteira;Instalado;GESAC
40387;PE;2602803;Buíque;Urbano;ESCOLA MUNICIPAL DOUTOR JOSE CURSINO GALVAO;Escola;Instalado;GESAC
40393;PB;2515302;Sapé;Urbano;EMEF LUIZ IGNACIO RIBEIRO COUTINHO;Escola;Instalado;GESAC
40394;PB;2515203;São Sebastião do Umbuzeiro;Rural;Associacao Dos Produtores Rurais Do Projeto De Assentamento Estrela Dalva;Assentamento;Instalado;GESAC
