NR_VOTAVEL;CD_CANDIDATO;DS_CARGO;NM_VOTAVEL;NR_PARTIDO;NM_PARTIDO;DT_NASCIMENTO;DS_GENERO;DS_GRAU_INSTRUCAO;DS_COR_RACA;DS_OCUPACAO;DS_ESTADO_CIVIL
35274;893539086;DEPUTADO ESTADUAL;MARIA DA CONCEIÇÃO FERNANDES GRANATO;35;PARTIDO DA MULHER BRASILEIRA;01/01/1974;FEMININO;ENSINO MÉDIO COMPLETO;PARDA;EMPREGADO DOMÉSTICO;DIVORCIADO(A)
43430;893508652;DEPUTADO ESTADUAL;DONIZETI APARECIDO ALVES FERREIRA;43;PARTIDO VERDE;18/12/1964;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;AGRICULTOR;CASADO(A)
1028;893508739;DEPUTADO FEDERAL;DOMINGOS LUCIO FLEMING GALILEU DE VASCONCELOS;10;REPUBLICANOS;23/10/1958;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;AGRICULTOR;CASADO(A)
11245;893509139;DEPUTADO ESTADUAL;FABIO ROGERIO FAGUNDES;11;PROGRESSISTAS;18/11/1979;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA;AGRICULTOR;CASADO(A)
13066;893508622;DEPUTADO ESTADUAL;ADÉLIA OLIVEIRA DE FARIAS;13;PARTIDO DOS TRABALHADORES;05/01/1968;FEMININO;SUPERIOR COMPLETO;PRETA;AGRICULTOR;SOLTEIRO(A)
7778;893502937;DEPUTADO FEDERAL;EDUARDO DE VASCONCELLOS CORREIA ANNUNCIATO;77;SOLIDARIEDADE;04/05/1973;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;ELETRICISTA E ASSEMELHADOS;CASADO(A)
1281;893540563;DEPUTADO FEDERAL;LUIZ FELIPE DIAS;12;PARTIDO DEMOCRÁTICO TRABALHISTA;03/06/1991;MASCULINO;SUPERIOR INCOMPLETO;PRETA;ELETRICISTA E ASSEMELHADOS;SOLTEIRO(A)
1616;893508245;DEPUTADO FEDERAL;WELLER PEREIRA GONÇALVES;16;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;09/05/1986;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;TRABALHADOR METALÚRGICO E SIDERÚRGICO;CASADO(A)
14900;893511743;DEPUTADO ESTADUAL;VALDINEI CAMPELO FELIX;14;PARTIDO TRABALHISTA BRASILEIRO;05/11/1972;MASCULINO;SUPERIOR COMPLETO;BRANCA;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;CASADO(A)
15040;893506795;DEPUTADO ESTADUAL;LUIZ CARLOS DE PAULA;15;MOVIMENTO DEMOCRÁTICO BRASILEIRO;14/09/1968;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;MILITAR REFORMADO;CASADO(A)
20333;893540608;DEPUTADO ESTADUAL;VALDENIR JOSÉ BITIU;20;PARTIDO SOCIAL CRISTÃO;27/09/1965;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;MILITAR REFORMADO;CASADO(A)
