CD_MUN,lp_adequado,mt_adequado,lp_insuficiente,lp_basico,lp_proficiente,lp_avancado,mt_insuficiente,mt_basico,mt_proficiente,mt_avancado,ideb
3500105,0.3717,0.0697,0.3252,0.3031,0.3601,0.0116,0.4279,0.5025,0.058,0.0117,4.7
3500105,0.3717,0.0697,0.3252,0.3031,0.3601,0.0116,0.4279,0.5025,0.058,0.0117,4.7
3500204,0.2697,0.0515,0.3788,0.3516,0.2394,0.0303,0.5212,0.4273,0.0515,0.0,4.4
3500204,0.2697,0.0515,0.3788,0.3516,0.2394,0.0303,0.5212,0.4273,0.0515,0.0,4.4
3500303,0.2747,0.0321,0.2888,0.4365,0.2658,0.0089,0.5427,0.4252,0.0227,0.0094,4.2
3500303,0.2747,0.0321,0.2888,0.4365,0.2658,0.0089,0.5427,0.4252,0.0227,0.0094,4.2
3500402,,,,,,,,,,,
3500402,,,,,,,,,,,
3500501,0.5252,0.1789,0.1642,0.3106,0.4814,0.0438,0.3073,0.5138,0.1698,0.0091,5.2
3500501,0.5252,0.1789,0.1642,0.3106,0.4814,0.0438,0.3073,0.5138,0.1698,0.0091,5.2
3500550,0.3126,0.0495,0.3153,0.3721,0.2946,0.018,0.4424,0.5081,0.0495,0.0,4.5
3500550,0.3126,0.0495,0.3153,0.3721,0.2946,0.018,0.4424,0.5081,0.0495,0.0,4.5
3500600,0.3056,0.0833,0.4722,0.2223,0.2778,0.0278,0.6667,0.2501,0.0833,0.0,4.3
3500600,0.3056,0.0833,0.4722,0.2223,0.2778,0.0278,0.6667,0.2501,0.0833,0.0,4.3
3500709,0.3649,0.022,0.2687,0.3664,0.3616,0.0033,0.5156,0.4625,0.022,0.0,4.2
3500709,0.3649,0.022,0.2687,0.3664,0.3616,0.0033,0.5156,0.4625,0.022,0.0,4.2
3500758,,,,,,,,,,,
3500758,,,,,,,,,,,
3500808,,,,,,,,,,,
3500808,,,,,,,,,,,
