CD_CANDIDATO;NR_VOTAVEL;DS_CARGO;NM_VOTAVEL;NR_PARTIDO;NM_PARTIDO;DT_NASCIMENTO;DS_GENERO;DS_GRAU_INSTRUCAO;DS_COR_RACA;DS_OCUPACAO;DS_ESTADO_CIVIL
893539086;35274;DEPUTADO ESTADUAL;MARIA DA CONCEIÇÃO FERNANDES GRANATO;35;PARTIDO DA MULHER BRASILEIRA;01/01/1974;FEMININO;ENSINO MÉDIO COMPLETO;PARDA;EMPREGADO DOMÉSTICO;DIVORCIADO(A)
893508652;43430;DEPUTADO ESTADUAL;DONIZETI APARECIDO ALVES FERREIRA;43;PARTIDO VERDE;18/12/1964;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;AGRICULTOR;CASADO(A)
893508739;1028;DEPUTADO FEDERAL;DOMINGOS LUCIO FLEMING GALILEU DE VASCONCELOS;10;REPUBLICANOS;23/10/1958;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;AGRICULTOR;CASADO(A)
893509139;11245;DEPUTADO ESTADUAL;FABIO ROGERIO FAGUNDES;11;PROGRESSISTAS;18/11/1979;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA;AGRICULTOR;CASADO(A)
893508622;13066;DEPUTADO ESTADUAL;ADÉLIA OLIVEIRA DE FARIAS;13;PARTIDO DOS TRABALHADORES;05/01/1968;FEMININO;SUPERIOR COMPLETO;PRETA;AGRICULTOR;SOLTEIRO(A)
893502937;7778;DEPUTADO FEDERAL;EDUARDO DE VASCONCELLOS CORREIA ANNUNCIATO;77;SOLIDARIEDADE;04/05/1973;MASCULINO;SUPERIOR INCOMPLETO;BRANCA;ELETRICISTA E ASSEMELHADOS;CASADO(A)
893540563;1281;DEPUTADO FEDERAL;LUIZ FELIPE DIAS;12;PARTIDO DEMOCRÁTICO TRABALHISTA;03/06/1991;MASCULINO;SUPERIOR INCOMPLETO;PRETA;ELETRICISTA E ASSEMELHADOS;SOLTEIRO(A)
893508245;1616;DEPUTADO FEDERAL;WELLER PEREIRA GONÇALVES;16;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;09/05/1986;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;TRABALHADOR METALÚRGICO E SIDERÚRGICO;CASADO(A)
893511743;14900;DEPUTADO ESTADUAL;VALDINEI CAMPELO FELIX;14;PARTIDO TRABALHISTA BRASILEIRO;05/11/1972;MASCULINO;SUPERIOR COMPLETO;BRANCA;SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA;CASADO(A)
893506795;15040;DEPUTADO ESTADUAL;LUIZ CARLOS DE PAULA;15;MOVIMENTO DEMOCRÁTICO BRASILEIRO;14/09/1968;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;MILITAR REFORMADO;CASADO(A)
893540608;20333;DEPUTADO ESTADUAL;VALDENIR JOSÉ BITIU;20;PARTIDO SOCIAL CRISTÃO;27/09/1965;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;MILITAR REFORMADO;CASADO(A)
893508582;13413;DEPUTADO ESTADUAL;JOÃO ALFREDO DE OLIVEIRA;13;PARTIDO DOS TRABALHADORES;31/01/1965;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA;SERVIDOR PÚBLICO CIVIL APOSENTADO;CASADO(A)
893494629;30310;DEPUTADO ESTADUAL;SILVANA MARQUES MONTEIRO;30;PARTIDO NOVO;14/11/1966;FEMININO;SUPERIOR COMPLETO;BRANCA;SERVIDOR PÚBLICO CIVIL APOSENTADO;CASADO(A)
893616310;90300;DEPUTADO ESTADUAL;ARLINDO DE OLIVEIRA CAMARGO;90;PARTIDO REPUBLICANO DA ORDEM SOCIAL;12/10/1949;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);SOLTEIRO(A)
893589350;27133;DEPUTADO ESTADUAL;ANTONIO GENARO PEREIRA DA SILVA;27;DEMOCRACIA CRISTÃ;01/05/1963;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);DIVORCIADO(A)
893540479;12736;DEPUTADO ESTADUAL;JOSÉ NELSON DA SILVA;12;PARTIDO DEMOCRÁTICO TRABALHISTA;23/06/1965;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);CASADO(A)
893597392;29292;DEPUTADO ESTADUAL;CARLOS AUGUSTO RODRIGUES;29;PARTIDO DA CAUSA OPERÁRIA;27/03/1959;MASCULINO;SUPERIOR COMPLETO;BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);SOLTEIRO(A)
893535386;21;VICE-GOVERNADOR;MANOEL MESSIAS PEREIRA;21;PARTIDO COMUNISTA BRASILEIRO;16/08/1955;MASCULINO;SUPERIOR COMPLETO;PRETA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);CASADO(A)
893501887;55135;DEPUTADO ESTADUAL;JULIANA SOARES DE PAULA;55;PARTIDO SOCIAL DEMOCRÁTICO;30/03/1970;FEMININO;ENSINO MÉDIO COMPLETO;PARDA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);CASADO(A)
893539105;35482;DEPUTADO ESTADUAL;SUELI GUETE AGUIAR;35;PARTIDO DA MULHER BRASILEIRA;28/01/1956;FEMININO;SUPERIOR COMPLETO;BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);CASADO(A)
893502907;7774;DEPUTADO FEDERAL;SILÉA BENEDETTI DE MACEDO PEDROSO;77;SOLIDARIEDADE;05/03/1969;FEMININO;SUPERIOR COMPLETO;BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);CASADO(A)
893494546;3024;DEPUTADO FEDERAL;MARIA DE FÁTIMA PAULA BAULÉ;30;PARTIDO NOVO;16/07/1958;FEMININO;SUPERIOR COMPLETO;BRANCA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);CASADO(A)
893506992;22711;DEPUTADO ESTADUAL;ANITA DOS SANTOS TAKAIYASU;22;PARTIDO LIBERAL;25/05/1954;FEMININO;SUPERIOR COMPLETO;PARDA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);CASADO(A)
893498866;4475;DEPUTADO FEDERAL;JANDIRA DE MENEZES CREPALDI;44;UNIÃO BRASIL;17/07/1948;FEMININO;SUPERIOR COMPLETO;PARDA;APOSENTADO (EXCETO SERVIDOR PÚBLICO);VIÚVO(A)
893518313;51250;DEPUTADO ESTADUAL;JOSE BENTO DE JESUS;51;PATRIOTA;18/11/1972;MASCULINO;LÊ E ESCREVE;BRANCA;OUTROS;CASADO(A)
893616315;90666;DEPUTADO ESTADUAL;EBION PEREIRA DA COSTA;90;PARTIDO REPUBLICANO DA ORDEM SOCIAL;23/06/1972;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893510793;3333;DEPUTADO FEDERAL;JOÃO FRANCISCO GARCIA;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;04/10/1960;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;DIVORCIADO(A)
893628719;1488;DEPUTADO FEDERAL;ORLANDO GALATI;14;PARTIDO TRABALHISTA BRASILEIRO;19/04/1956;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893620978;10220;DEPUTADO ESTADUAL;MARCO AURELIO MOREIRA ROQUE;10;REPUBLICANOS;27/07/1976;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;OUTROS;DIVORCIADO(A)
893498938;44999;DEPUTADO ESTADUAL;RENATO DE SOUZA BATTISTA;44;UNIÃO BRASIL;16/01/1995;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893516144;18717;DEPUTADO ESTADUAL;ANTOINE BALADY;18;REDE SUSTENTABILIDADE;24/07/1968;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;DIVORCIADO(A)
893616327;90100;DEPUTADO ESTADUAL;CARLOS ALBERTO DE ZAGOTTIS SAAD;90;PARTIDO REPUBLICANO DA ORDEM SOCIAL;20/12/1961;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893596680;28122;DEPUTADO ESTADUAL;WALTER NOLA;28;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;18/01/1956;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
893517465;40153;DEPUTADO ESTADUAL;LUCAS DE OLIVEIRA CARDOSO;40;PARTIDO SOCIALISTA BRASILEIRO;12/08/1984;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
893540118;33258;DEPUTADO ESTADUAL;ANTÔNIO SANTANA DA SILVA;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;15/02/1961;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;OUTROS;CASADO(A)
893532774;3536;DEPUTADO FEDERAL;AGNALDO JOSÉ DOS SANTOS;35;PARTIDO DA MULHER BRASILEIRA;17/01/1969;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
893510794;3353;DEPUTADO FEDERAL;JONATHAN PEREIRA DE SOUZA;33;PARTIDO DA MOBILIZAÇÃO NACIONAL;01/09/1994;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;OUTROS;SOLTEIRO(A)
893498928;44544;DEPUTADO ESTADUAL;MAURICIO MENNA BARRETO GASPARINI;44;UNIÃO BRASIL;23/11/1971;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
893498934;44470;DEPUTADO ESTADUAL;WERMESON PEREIRA DA SILVA;44;UNIÃO BRASIL;04/04/1988;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;OUTROS;CASADO(A)
893508187;2215;DEPUTADO FEDERAL;ROBSON LIEBETANZ DZELVE CALABIANQUI JUNIOR;22;PARTIDO LIBERAL;28/08/1996;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
893506978;22338;DEPUTADO ESTADUAL;ROGÉRIO DA SILVA SANTOS;22;PARTIDO LIBERAL;05/10/1970;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;CASADO(A)
893618202;36175;DEPUTADO ESTADUAL;DERIONERIO OLIVEIRA DE ASSIS;36;AGIR;17/09/1975;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA;OUTROS;CASADO(A)
893518523;70800;DEPUTADO ESTADUAL;DONIZETE NATAL PONTES;70;AVANTE;25/12/1972;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA;OUTROS;CASADO(A)
893618168;36016;DEPUTADO ESTADUAL;ELIZEU RODRIGUES VARELA;36;AGIR;11/07/1973;MASCULINO;SUPERIOR COMPLETO;BRANCA;OUTROS;SOLTEIRO(A)
